nohup: ignoring input
wandb: Currently logged in as: mahdikhashan1 (nano-apps) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
/usr/local/lib/python3.11/dist-packages/wandb/analytics/sentry.py:259: DeprecationWarning: The `Scope.user` setter is deprecated in favor of `Scope.set_user()`.
  self.scope.user = {"email": email}  # noqa
/usr/local/lib/python3.11/dist-packages/wandb/analytics/sentry.py:259: DeprecationWarning: The `Scope.user` setter is deprecated in favor of `Scope.set_user()`.
  self.scope.user = {"email": email}  # noqa
wandb: Tracking run with wandb version 0.19.11
wandb: Run data is saved locally in /root/user/doom-drl/wandb/run-20250608_191312-02w0617w
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run denim-meadow-11
wandb: ⭐️ View project at https://wandb.ai/nano-apps/doom-rl
wandb: 🚀 View run at https://wandb.ai/nano-apps/doom-rl/runs/02w0617w
Host 38241
Player 38241
Ep 216: return   -0.5  |  ε 0.898
Ep 217: return    4.8  |  ε 0.897
Ep 218: return   -0.9  |  ε 0.897
Ep 219: return    0.6  |  ε 0.896
Ep 220: return    4.4  |  ε 0.896
Ep 221: return    0.0  |  ε 0.895
Ep 222: return   -1.7  |  ε 0.895
Ep 223: return    7.9  |  ε 0.894
Ep 224: return   -0.7  |  ε 0.894
Ep 225: return   -0.2  |  ε 0.894
Ep 226: return  105.7  |  ε 0.893
Ep 227: return   11.7  |  ε 0.893
Ep 228: return   -0.3  |  ε 0.892
Ep 229: return    3.4  |  ε 0.892
Ep 230: return    0.0  |  ε 0.891
Ep 231: return    0.0  |  ε 0.891
Ep 232: return    5.0  |  ε 0.890
Ep 233: return   34.6  |  ε 0.890
Ep 234: return    0.0  |  ε 0.890
Ep 235: return    0.0  |  ε 0.889
Ep 236: return   29.0  |  ε 0.889
Ep 237: return    8.2  |  ε 0.888
Ep 238: return   17.0  |  ε 0.888
Ep 239: return    9.0  |  ε 0.887
Ep 240: return    0.0  |  ε 0.887
Ep 241: return   -0.1  |  ε 0.886
Ep 242: return   27.0  |  ε 0.886
Ep 243: return   -0.4  |  ε 0.886
Ep 244: return    4.0  |  ε 0.885
Ep 245: return   38.4  |  ε 0.885
Ep 246: return    4.2  |  ε 0.884
Ep 247: return   -1.8  |  ε 0.884
Ep 248: return   -0.3  |  ε 0.883
Ep 249: return   12.0  |  ε 0.883
Ep 250: return   -1.7  |  ε 0.882
Ep 251: return    4.4  |  ε 0.882
Ep 252: return   21.1  |  ε 0.882
Ep 253: return   -0.4  |  ε 0.881
Ep 254: return   12.7  |  ε 0.881
Ep 255: return   -1.3  |  ε 0.880
Ep 256: return   -0.6  |  ε 0.880
Ep 257: return   -0.5  |  ε 0.879
Ep 258: return   18.3  |  ε 0.879
Ep 259: return    5.0  |  ε 0.879
Ep 260: return   -0.4  |  ε 0.878
Ep 261: return  111.0  |  ε 0.878
